AdvActionMAPAgent	401	(2,6) > 10 > (4,5) > (4,5)	
NoHelpRepAgent	469	(0,3) > 12 > (1,7) > (1,7)	
329	(4,9) > 6 > (4,7) > (3,7)	
309	(5,8) > 10 > (6,4) > (6,4)	
329	(4,7) > 4 > (4,8) > (4,8)	
38	(7,8) > 4 > (5,7) > (6,7)	
229	(4,8) > 3 > (6,6) > (6,6)	
1446	(4,5) > 4 > (7,7) > (7,7)	
1238	(5,7) > 2 > (8,2) > (8,2)	
12500		

AdvActionMAPAgent	23	(0,2) > 13 > (3,6) > (3,6)	
107	(4,6) > 2 > (0,9) > (0,9)	
239	(9,6) > 8 > (0,7) > (0,7)	
882	(8,2) > 14 > (6,1) > (6,1)	
483	(5,7) > 8 > (0,9) > (0,9)	
692	(2,8) > 12 > (8,6) > (8,6)	
655	(1,5) > 6 > (8,6) > (8,6)	
19	(8,0) > 7 > (5,9) > (5,9)	
16000		

AdvActionMAPRepAgent	24	(0,2) > 13 > (3,6) > (3,6)	
149	(4,6) > 2 > (0,9) > (0,9)	
237	(9,6) > 8 > (0,7) > (0,7)	
922	(8,2) > 14 > (6,1) > (6,1)	
384	(5,7) > 8 > (0,9) > (0,9)	
692	(2,8) > 12 > (8,6) > (8,6)	
655	(1,5) > 6 > (8,6) > (8,6)	
81	(8,0) > 7 > (5,9) > (5,9)	
16000		

BasicActionMAPAgent	41	(0,2) > 13 > (3,6) > (3,6)	
25	(4,6) > 2 > (0,9) > (0,9)	
150	(9,6) > 5 > (0,7) > (0,7)	
782	(8,2) > 14 > (6,1) > (6,1)	
489	(5,7) > 8 > (0,9) > (0,9)	
702	(2,8) > 12 > (8,6) > (8,6)	
665	(1,5) > 6 > (8,6) > (8,6)	
317	(8,0) > 7 > (6,7) > (5,9)	
14500		

HelperInitActionMAPAgent	6	(0,2) > 13 > (3,6) > (3,6)	
11	(4,6) > 2 > (0,9) > (0,9)	
127	(9,6) > 8 > (0,7) > (0,7)	
402	(8,2) > 14 > (6,1) > (6,1)	
159	(5,7) > 8 > (0,9) > (0,9)	
568	(2,8) > 12 > (8,6) > (8,6)	
567	(1,5) > 6 > (8,6) > (8,6)	
3	(8,0) > 7 > (5,9) > (5,9)	
16000		

NoHelpAgent	319	(0,2) > 13 > (4,6) > (3,6)	
89	(4,6) > 1 > (1,9) > (0,9)	
95	(9,6) > 5 > (1,5) > (0,7)	
1246	(8,2) > 11 > (6,1) > (6,1)	
9	(5,7) > 7 > (0,9) > (0,9)	
716	(2,8) > 12 > (8,6) > (8,6)	
679	(1,5) > 6 > (8,6) > (8,6)	
329	(8,0) > 7 > (6,7) > (5,9)	
10400		

NoHelpRepAgent	319	(0,2) > 13 > (4,6) > (3,6)	
87	(4,6) > 1 > (1,9) > (0,9)	
94	(9,6) > 6 > (1,5) > (0,7)	
1246	(8,2) > 11 > (6,1) > (6,1)	
9	(5,7) > 7 > (0,9) > (0,9)	
716	(2,8) > 12 > (8,6) > (8,6)	
679	(1,5) > 6 > (8,6) > (8,6)	
77	(8,0) > 7 > (5,7) > (5,9)	
10500		



AdvActionMAPAgent	23	(0,2) > 13 > (3,6) > (3,6)	
107	(4,6) > 2 > (0,9) > (0,9)	
239	(9,6) > 8 > (0,7) > (0,7)	
882	(8,2) > 14 > (6,1) > (6,1)	
483	(5,7) > 8 > (0,9) > (0,9)	
692	(2,8) > 12 > (8,6) > (8,6)	
655	(1,5) > 6 > (8,6) > (8,6)	
19	(8,0) > 7 > (5,9) > (5,9)	
16000		

AdvActionMAPRepAgent	24	(0,2) > 13 > (3,6) > (3,6)	
149	(4,6) > 2 > (0,9) > (0,9)	
237	(9,6) > 8 > (0,7) > (0,7)	
922	(8,2) > 14 > (6,1) > (6,1)	
384	(5,7) > 8 > (0,9) > (0,9)	
692	(2,8) > 12 > (8,6) > (8,6)	
655	(1,5) > 6 > (8,6) > (8,6)	
81	(8,0) > 7 > (5,9) > (5,9)	
16000		

BasicActionMAPAgent	41	(0,2) > 13 > (3,6) > (3,6)	
25	(4,6) > 2 > (0,9) > (0,9)	
150	(9,6) > 5 > (0,7) > (0,7)	
782	(8,2) > 14 > (6,1) > (6,1)	
489	(5,7) > 8 > (0,9) > (0,9)	
702	(2,8) > 12 > (8,6) > (8,6)	
665	(1,5) > 6 > (8,6) > (8,6)	
317	(8,0) > 7 > (6,7) > (5,9)	
14500		

HelperInitActionMAPAgent	6	(0,2) > 13 > (3,6) > (3,6)	
11	(4,6) > 2 > (0,9) > (0,9)	
127	(9,6) > 8 > (0,7) > (0,7)	
402	(8,2) > 14 > (6,1) > (6,1)	
159	(5,7) > 8 > (0,9) > (0,9)	
568	(2,8) > 12 > (8,6) > (8,6)	
567	(1,5) > 6 > (8,6) > (8,6)	
3	(8,0) > 7 > (5,9) > (5,9)	
16000		

NoHelpAgent	319	(0,2) > 13 > (4,6) > (3,6)	
89	(4,6) > 1 > (1,9) > (0,9)	
95	(9,6) > 5 > (1,5) > (0,7)	
1246	(8,2) > 11 > (6,1) > (6,1)	
9	(5,7) > 7 > (0,9) > (0,9)	
716	(2,8) > 12 > (8,6) > (8,6)	
679	(1,5) > 6 > (8,6) > (8,6)	
329	(8,0) > 7 > (6,7) > (5,9)	
10400		

NoHelpRepAgent	319	(0,2) > 13 > (4,6) > (3,6)	
87	(4,6) > 1 > (1,9) > (0,9)	
94	(9,6) > 6 > (1,5) > (0,7)	
1246	(8,2) > 11 > (6,1) > (6,1)	
9	(5,7) > 7 > (0,9) > (0,9)	
716	(2,8) > 12 > (8,6) > (8,6)	
679	(1,5) > 6 > (8,6) > (8,6)	
77	(8,0) > 7 > (5,7) > (5,9)	
10500		

AdvActionMAPAgent	83	(6,9) > 14 > (6,3) > (6,3)	
432	(6,2) > 4 > (6,7) > (6,7)	
198	(6,8) > 6 > (4,1) > (4,1)	
446	(5,5) > 9 > (1,3) > (1,3)	
703	(9,9) > 13 > (4,2) > (4,2)	
655	(4,5) > 6 > (1,9) > (1,9)	
312	(8,2) > 6 > (8,7) > (8,7)	
625	(0,9) > 9 > (1,1) > (1,1)	
16000		

AdvActionMAPRepAgent	83	(6,9) > 14 > (6,3) > (6,3)	
432	(6,2) > 4 > (6,7) > (6,7)	
198	(6,8) > 6 > (4,1) > (4,1)	
446	(5,5) > 9 > (1,3) > (1,3)	
703	(9,9) > 13 > (4,2) > (4,2)	
655	(4,5) > 6 > (1,9) > (1,9)	
311	(8,2) > 6 > (8,7) > (8,7)	
625	(0,9) > 9 > (1,1) > (1,1)	
16000		

BasicActionMAPAgent	46	(6,9) > 14 > (6,3) > (6,3)	
336	(6,2) > 4 > (6,7) > (6,7)	
202	(6,8) > 6 > (4,1) > (4,1)	
751	(5,5) > 9 > (1,3) > (1,3)	
708	(9,9) > 13 > (4,2) > (4,2)	
660	(4,5) > 6 > (1,9) > (1,9)	
334	(8,2) > 6 > (8,7) > (8,7)	
630	(0,9) > 9 > (1,1) > (1,1)	
16000		

HelperInitActionMAPAgent	4	(6,9) > 14 > (6,3) > (6,3)	
483	(6,2) > 4 > (6,7) > (6,7)	
217	(6,8) > 6 > (4,1) > (4,1)	
352	(5,5) > 9 > (1,3) > (1,3)	
630	(9,9) > 13 > (4,2) > (4,2)	
571	(4,5) > 6 > (1,9) > (1,9)	
270	(8,2) > 6 > (8,7) > (8,7)	
570	(0,9) > 9 > (1,1) > (1,1)	
16000		

NoHelpAgent	309	(6,9) > 14 > (6,6) > (6,3)	
98	(6,2) > 4 > (5,8) > (6,7)	
459	(6,8) > 3 > (4,1) > (4,1)	
759	(5,5) > 9 > (1,3) > (1,3)	
716	(9,9) > 13 > (4,2) > (4,2)	
668	(4,5) > 6 > (1,9) > (1,9)	
349	(8,2) > 5 > (8,6) > (8,7)	
645	(0,9) > 7 > (1,1) > (1,1)	
11500		

NoHelpRepAgent	308	(6,9) > 14 > (6,6) > (6,3)	
98	(6,2) > 4 > (5,8) > (6,7)	
459	(6,8) > 3 > (4,1) > (4,1)	
759	(5,5) > 9 > (1,3) > (1,3)	
716	(9,9) > 13 > (4,2) > (4,2)	
668	(4,5) > 6 > (1,9) > (1,9)	
349	(8,2) > 5 > (8,6) > (8,7)	
645	(0,9) > 7 > (1,1) > (1,1)	
11500		



AdvActionMAPAgent	83	(6,9) > 14 > (6,3) > (6,3)	
432	(6,2) > 4 > (6,7) > (6,7)	
198	(6,8) > 6 > (4,1) > (4,1)	
446	(5,5) > 9 > (1,3) > (1,3)	
703	(9,9) > 13 > (4,2) > (4,2)	
655	(4,5) > 6 > (1,9) > (1,9)	
312	(8,2) > 6 > (8,7) > (8,7)	
625	(0,9) > 9 > (1,1) > (1,1)	
16000		

AdvActionMAPRepAgent	83	(6,9) > 14 > (6,3) > (6,3)	
432	(6,2) > 4 > (6,7) > (6,7)	
198	(6,8) > 6 > (4,1) > (4,1)	
